i,train_auc_clin,acc_train_clin,test_auc_clin,acc_test_clin,Sens_train,Spec_train,PPV_train,NPV_train,Sens_test,Spec_test,PPV_test,NPV_test
49,0.664285714,0.68627451,0.641025641,0.772727273,38.1,90,72.7,67.5,44.4,100,100,72.2
50,0.646825397,0.725490196,0.632478632,0.681818182,38.1,96.7,88.9,69,66.7,69.2,60,75
51,0.761904762,0.745098039,0.41025641,0.681818182,71.4,76.7,68.2,79.3,22.2,100,100,65
52,0.703968254,0.68627451,0.551282051,0.681818182,76.2,63.3,59.3,79.2,33.3,92.3,75,66.7
53,0.76031746,0.745098039,0.393162393,0.681818182,71.4,76.7,68.2,79.3,22.2,100,100,65
54,0.579365079,0.68627451,0.790598291,0.818181818,23.8,100,100,65.2,55.6,100,100,76.5
55,0.673809524,0.745098039,0.568376068,0.590909091,38.1,100,100,69.8,88.9,38.5,50,83.3
56,0.673015873,0.725490196,0.632478632,0.590909091,47.6,90,76.9,71.1,88.9,38.5,50,83.3
57,0.768253968,0.745098039,0.594017094,0.363636364,66.7,80,70,77.4,55.6,76.9,62.5,71.4
58,0.621428571,0.705882353,0.722222222,0.772727273,33.3,96.7,87.5,67.4,66.7,84.6,75,78.6
59,0.60952381,0.68627451,0.709401709,0.772727273,28.6,96.7,85.7,65.9,66.7,84.6,75,78.6
60,0.696825397,0.666666667,0.611111111,0.727272727,76.2,60,57.1,78.3,33.3,100,100,68.4
61,0.623809524,0.68627451,0.735042735,0.818181818,28.6,96.7,85.7,65.9,55.6,100,100,76.5
62,0.622222222,0.68627451,0.700854701,0.772727273,28.6,96.7,85.7,65.9,44.4,100,100,72.2
63,0.684920635,0.764705882,0.517094017,0.590909091,47.6,96.7,90.9,72.5,100,30.8,50,100
64,0.705555556,0.725490196,0.521367521,0.545454545,47.6,90,76.9,71.1,77.8,38.5,46.7,71.4
65,0.645238095,0.705882353,0.636752137,0.727272727,33.3,96.7,87.5,67.4,44.4,92.3,80,70.6
66,0.674603175,0.745098039,0.602564103,0.590909091,47.6,93.3,83.3,71.8,88.9,38.5,50,83.3
67,0.684126984,0.705882353,0.508547009,0.545454545,57.1,80,66.7,72.7,100,23.1,47.4,100
68,0.747619048,0.745098039,0.444444444,0.636363636,42.9,96.7,90,70.7,22.2,92.3,66.7,63.2
69,0.692857143,0.705882353,0.525641026,0.727272727,38.1,93.3,80,68.3,33.3,100,100,68.4
70,0.673809524,0.68627451,0.615384615,0.727272727,57.1,76.7,63.2,71.9,44.4,92.3,80,70.6
71,0.64047619,0.68627451,0.632478632,0.727272727,38.1,90,72.7,67.5,33.3,100,100,68.4
72,0.545238095,0.666666667,0.829059829,0.818181818,23.8,96.7,83.3,64.4,77.8,84.6,77.8,84.6
73,0.69047619,0.705882353,0.58974359,0.636363636,52.4,83.3,68.8,71.4,88.9,46.2,53.3,85.7
74,0.623015873,0.68627451,0.692307692,0.772727273,28.6,96.7,85.7,65.9,55.6,92.3,83.3,75
75,0.684126984,0.666666667,0.632478632,0.772727273,76.2,60,57.1,78.3,44.4,100,100,72.2
76,0.736507937,0.764705882,0.517094017,0.545454545,47.6,96.7,90.9,72.5,77.8,38.5,46.7,71.4
77,0.678571429,0.705882353,0.632478632,0.681818182,42.9,90,75,69.2,44.4,84.6,66.7,68.8
78,0.708730159,0.745098039,0.491452991,0.681818182,52.4,90,78.6,73,22.2,100,100,65
79,0.71984127,0.725490196,0.487179487,0.681818182,47.6,90,76.9,71.1,33.3,92.3,75,66.7
80,0.623015873,0.705882353,0.735042735,0.727272727,42.9,90,75,69.2,77.8,69.2,63.6,81.8
81,0.588095238,0.705882353,0.803418803,0.772727273,28.6,100,100,66.7,66.7,84.6,75,78.6
82,0.607936508,0.68627451,0.752136752,0.772727273,38.1,90,72.7,67.5,44.4,100,100,72.2
83,0.653968254,0.705882353,0.666666667,0.772727273,28.6,100,100,66.7,55.6,92.3,83.3,75
84,0.71031746,0.764705882,0.487179487,0.681818182,42.9,100,100,71.4,22.2,100,100,65
85,0.657936508,0.745098039,0.641025641,0.727272727,47.6,93.3,83.3,71.8,88.9,61.5,61.5,88.9
86,0.717460317,0.745098039,0.504273504,0.363636364,47.6,93.3,83.3,71.8,33.3,92.3,75,66.7
87,0.638888889,0.68627451,0.726495726,0.818181818,33.3,93.3,77.8,66.7,66.7,92.3,85.7,80
88,0.568253968,0.666666667,0.820512821,0.818181818,23.8,96.7,83.3,64.4,77.8,84.6,77.8,84.6
89,0.664285714,0.647058824,0.636752137,0.772727273,81,53.3,54.8,80,44.4,100,100,72.2
90,0.682539683,0.725490196,0.61965812,0.727272727,42.9,93.3,81.8,70,44.4,92.3,80,70.6
91,0.620634921,0.68627451,0.713675214,0.727272727,38.1,90,72.7,67.5,77.8,69.2,63.6,81.8
92,0.745238095,0.764705882,0.606837607,0.454545455,47.6,96.7,90.9,72.5,77.8,46.2,50,75
93,0.730952381,0.745098039,0.55982906,0.363636364,47.6,93.3,83.3,71.8,33.3,92.3,75,66.7
94,0.630952381,0.588235294,0.692307692,0.772727273,81,43.3,50,76.5,55.6,92.3,83.3,75
95,0.670634921,0.705882353,0.645299145,0.727272727,42.9,90,75,69.2,33.3,100,100,68.4
96,0.684126984,0.62745098,0.598290598,0.727272727,90.5,43.3,52.8,86.7,44.4,92.3,80,70.6
97,0.680952381,0.745098039,0.474358974,0.5,42.9,96.7,90,70.7,100,15.4,45,100
98,0.56984127,0.568627451,0.918803419,0.909090909,81,40,48.6,75,77.8,100,100,86.7
99,0.703968254,0.745098039,0.461538462,0.545454545,47.6,93.3,83.3,71.8,88.9,30.8,47.1,80
100,0.651587302,0.607843137,0.632478632,0.772727273,90.5,40,51.4,85.7,55.6,92.3,83.3,75
